ano,rede_rodoviaria,rede_rodoviaria_clandestina,area_devastada,população,renda_domiciliar_per_capita,taxa_desemprego,homicidios,PIB,exportacao,analfabetos
1988,32614.67,51518.3262807343,6990,4790371,465.54,9.15,591,38816638,594097762,13.22
1989,32753.09,54135.189859148,5750,4888355,615.21,9.16,675,40340722,670174191,13.69
1990,32891.51,56884.9765249824,4890,4988343,543.2,9.16,742,42349504,755992490,13.12
1991,33029.93,59774.4380811667,3780,4950060,470.74,9.17,812,41446579,852800141,13.59
1992,33168.35,62810.6692871706,3787,5328133,398.27,8.97,762,42866753,962004373,14.06
1993,33306.77,66001.1252794278,4284,5212812,473.82,7.93,624,45877905,1085192612,13.8
1994,33445.19,69353.6398765992,4284,5332187,496.68,8.19,716,45144977,1224155564,13.32
1995,33583.61,72876.4448146811,7845,5448598,519.55,8.46,695,45159307,1380913238,12.83
1996,33767.35,76578.1899591295,6135,5510849,483.24,9.16,688,45284173,1557744317,12.49
1997,33852.22,80467.9645436693,4139,5650681,498.47,10.13,746,46622445,1697245568,13.12
1998,33991.22,84555.3194879251,5829,5768476,507.6,9.18,769,47675171,1923891341,13.7
1999,34130.23,88850.2908486665,5111,5886454,490.08,10.35,637,48539244,2062864070,12.48
2000,34269.24,93363.424462255,6671,6192307,491.73,10.41,806,50822027,2367282766,11.75
2001,34211.3,98105.8018387978,5237,6341736,493.38,10.47,955,52599759,2220297231,11.01
2002,34211.1,103089.067371611,7510,6453683,514.06,10.77,1186,54513152,2211126862,10.55
2003,35178.1,109663,7145,6574993,430.54,10.18,1405,58018890,2609322504,10.5
2004,35161.6,114612,8870,6850181,449.39,8.7,1517,62215374,3666974361,14.52
2005,35161.6,119561,5899,6970586,445.11,9.7,1924,64818948,4584445153,13.32
2006,35161.6,124510,5659,7110465,479.5,9.26,2057,69415228,6528039362,13.22
2007,35154,129459,5526,7065573,526.27,8.72,2177,70970315,7829388034,12.59
2008,35144.3,136527,5607,7321493,542.79,6.78,2838,74477161,10322891007,12.41
2009,35144.3,146574.5,4281,7431020,533.29,10.24,2973,72074490,8313352544,12.73
2010,35689.9,156622,3770,7603239,566.37,9.93,3497,77847597,13618413985,11.67
2011,35690.8,184033.5,3008,7688593,599.44,9.62,3050,76612206,18237897376,10.61
2012,36011.3,211445,1741,7792561,612.63,7.8,3220,79054472,14764185875,10.51
2013,36011.3,222864.846113721,2346,7969654,627.35,9.59,3377,81574593,15898948627,10.05
2014,36014.5,245706.945625616,1887,8073924,676.49,9.71,3429,84175052,14232496719,9.97
2015,36655.8,270890.201758708,2153,8175113,571.06,9.06,3661,86858409,10201505071,10.86
2016,36668.2,298654.566813447,2992,8272724,575.46,9.33,4207,89627307,10393181740,10.75
2017,36673.6,329264.586535237,2433,8366628,579.9,9.34,4550,92484472,14330397918,10.64
2018,36673.6,363011.920771814,2744,8513497,584.37,9.35,4817,95432719,15697777925,10.53
