Ano,Rede Rodoviária,Rede Rodoviária Clandestina,Área Devastada,População,Renda domiciliar per capita,Taxa de desemprego,Homicídios,PIB,Exportação,Analfabetos
"1.988,00","32.614,67","11.503,00","6.990,00","4.790.371,09","465,54","9,15","591,00","38.816.637,50","594.097.762,47","13,22"
"1.989,00","32.753,09","12.730,00","5.750,00","4.888.354,77","615,21","9,16","675,00","40.340.721,85","670.174.191,45","13,69"
"1.990,00","32.891,51","13.957,00","4.890,00","4.988.342,63","543,20","9,16","742,00","42.349.504,25","755.992.490,23","13,12"
"1.991,00","33.029,93","15.184,00","3.780,00","4.950.060,00","470,74","9,17","812,00","41.446.579,46","852.800.141,47","13,59"
"1.992,00","33.168,35","16.411,00","3.787,00","5.328.133,00","398,27","8,97","762,00","42.866.753,27","962.004.372,65","14,06"
"1.993,00","33.306,77","17.638,00","4.284,00","5.212.812,00","473,82","7,93","624,00","45.877.905,07","1.085.192.611,95","13,80"
"1.994,00","33.445,19","18.865,00","4.284,00","5.332.187,00","496,68","8,19","716,00","45.144.977,44","1.224.155.563,65","13,32"
"1.995,00","33.583,61","20.092,00","7.845,00","5.448.598,00","519,55","8,46","695,00","45.159.307,09","1.380.913.238,37","12,83"
"1.996,00","33.767,35","22.490,00","6.135,00","5.510.849,00","483,24","9,16","688,00","45.284.172,50","1.557.744.316,59","12,49"
"1.997,00","33.852,22","24.888,00","4.139,00","5.650.681,00","498,47","10,13","746,00","46.622.444,64","1.697.245.568,00","13,12"
"1.998,00","33.991,22","27.286,00","5.829,00","5.768.476,00","507,60","9,18","769,00","47.675.170,85","1.923.891.341,00","13,70"
"1.999,00","34.130,23","29.684,00","5.111,00","5.886.454,00","490,08","10,35","637,00","48.539.243,74","2.062.864.070,00","12,48"
"2.000,00","34.269,24","32.082,00","6.671,00","6.192.307,00","491,73","10,41","806,00","50.822.027,07","2.367.282.766,00","11,75"
"2.001,00","34.211,30","34.480,00","5.237,00","6.341.736,00","493,38","10,47","955,00","52.599.758,59","2.220.297.231,00","11,01"
"2.002,00","34.211,10","39.323,44","7.510,00","6.453.683,00","514,06","10,77","1.186,00","54.513.151,95","2.211.126.862,00","10,55"
"2.003,00","35.178,10","44.166,81","7.145,00","6.574.993,00","430,54","10,18","1.405,00","58.018.889,52","2.609.322.504,00","10,50"
"2.004,00","35.161,60","49.010,19","8.870,00","6.850.181,00","449,39","8,70","1.517,00","62.215.374,49","3.666.974.361,00","14,52"
"2.005,00","35.161,60","53.853,56","5.899,00","6.970.586,00","445,11","9,70","1.924,00","64.818.947,93","4.584.445.153,00","13,32"
"2.006,00","35.161,60","58.696,94","5.659,00","7.110.465,00","479,50","9,26","2.057,00","69.415.227,83","6.528.039.362,00","13,22"
"2.007,00","35.154,00","63.540,31","5.526,00","7.065.573,00","526,27","8,72","2.177,00","70.970.315,07","7.829.388.034,00","12,59"
"2.008,00","35.144,30","68.383,69","5.607,00","7.321.493,00","542,79","6,78","2.838,00","74.477.160,72","10.322.891.007,00","12,41"
"2.009,00","35.144,30","73.227,06","4.281,00","7.431.020,00","533,29","10,24","2.973,00","72.074.490,42","8.313.352.544,00","12,73"
"2.010,00","35.689,90","78.070,43","3.770,00","7.603.239,00","566,37","9,93","3.497,00","77.847.596,52","13.618.413.985,00","11,67"
"2.011,00","35.690,80","82.913,81","3.008,00","7.688.593,00","599,44","9,62","3.050,00","76.612.205,51","18.237.897.376,00","10,61"
"2.012,00","36.011,30","87.757,18","1.741,00","7.792.561,00","612,63","7,80","3.220,00","79.054.471,79","14.764.185.875,00","10,51"
"2.013,00","36.011,30","92.600,49","2.346,00","7.969.654,00","627,35","9,59","3.377,00","81.574.593,35","15.898.948.627,00","10,05"
"2.014,00","36.014,50","92.608,71","1.887,00","8.073.924,00","676,49","9,71","3.429,00","84.175.052,08","14.232.496.719,00","9,97"
"2.015,00","36.655,80","94.257,77","2.153,00","8.175.113,00","571,06","9,06","3.661,00","86.858.408,99","10.201.505.071,00","10,86"
"2.016,00","36.668,20","94.289,66","2.992,00","8.272.724,00","575,46","9,33","4.207,00","89.627.306,74","10.393.181.740,00","10,75"
"2.017,00","36.673,60","94.303,54","2.433,00","8.366.628,00","579,90","9,34","4.550,00","92.484.472,22","14.330.397.918,00","10,64"
"2.018,00","36.673,60","94.303,54","2.744,00","8.513.497,00","584,37","9,35","4.816,59","95.432.719,26","15.697.777.925,00","10,53"
