ano,rede_rodoviaria,rede_rodoviaria_clandestina,area_devastada,população,renda_domiciliar_per_capita,taxa_desemprego,hominicios,PIB,exportacao,analfabetos
1988,32614.6709920386,51518.3262807343,126080,4790371.08796077,465.5446450869,9.14842996048182,591,38816637.5036277,594097762.474961,13.2215448842
1989,32753.0914378313,54135.189859148,131830,4888354.76749221,615.2056469942,9.15501811879606,675,40340721.8489188,670174191.45489,13.6898348948
1990,32891.511883624,56884.9765249824,136720,4988342.63444003,543.1960935086,9.16161102151236,742,42349504.2497605,755992490.227809,13.1210964388
1991,33029.9323294166,59774.4380811667,140500,4950060,470.7350670706,9.16820867204735,812,41446579.4643364,852800141.467892,13.5880698057
1992,33168.3527752093,62810.6692871706,144287,5328133,398.2740406326,8.9697684809,762,42866753.269724,962004372.647278,14.0550431726
1993,33306.7732210019,66001.1252794278,148571,5212812,473.8177339026,7.9268588656,624,45877905.0695272,1085192611.95189,13.8036386201
1994,33445.1936667946,69353.6398765992,152855,5332187,496.68232585495,8.19234131895,716,45144977.4408255,1224155563.6533,13.31712455415
1995,33583.6141125873,72876.4448146811,160700,5448598,519.5469178073,8.4578237723,695,45159307.0904731,1380913238.36778,12.8306104882
1996,33767.3515636137,76578.1899591295,166835,5510849,483.2401959333,9.159650301,688,45284172.5005505,1557744316.58719,12.4881939791
1997,33852.2155486756,80467.9645436693,170974,5650681,498.4657301799,10.1288084109,746,46622444.6378988,1697245568,13.1193665393
1998,33991.2245270038,84555.3194879251,176803,5768476,507.6005958607,9.176062217,769,47675170.852379,1923891341,13.7042837217
1999,34130.233505332,88850.2908486665,181914,5886454,490.0759506598,10.3508504415,637,48539243.7412351,2062864070,12.4828995376
2000,34269.2424836601,93363.424462255,188585,6192307,491.72967785015,10.41257873835,806,50822027.0732054,2367282766,11.7478764987
2001,34211.3,98105.8018387978,193822,6341736,493.3834050405,10.4743070352,955,52599758.589358,2220297231,11.0128534598
2002,34211.1,103089.067371611,201332,6453683,514.0607577472,10.7704942617,1186,54513151.9450381,2211126862,10.5513956438
2003,35178.1,109663,208477,6574993,430.5409814126,10.1775465197,1405,58018889.5213385,2609322504,10.497426499
2004,35161.6,114612,217347,6850181,449.3925181106,8.7001768537,1517,62215374.4892728,3666974361,14.5235313907
2005,35161.6,119561,223246,6970586,445.1064982346,9.7011872876,1924,64818947.9337773,4584445153,13.3187530334
2006,35161.6,124510,228905,7110465,479.4954599429,9.2604839513,2057,69415227.8289002,6528039362,13.2190740893
2007,35154,129459,234431,7065573,526.270065304,8.7226842189,2177,70970315.0729179,7829388034,12.5912107368
2008,35144.3,136527,240038,7321493,542.7916547646,6.7757528944,2838,74477160.7207923,10322891007,12.4089434691
2009,35144.3,146574.5,244319,7431020,533.2940415428,10.2439478315,2973,72074490.4229117,8313352544,12.7316510465
2010,35689.9,156622,248089,7603239,566.3671174685,9.93126881635,3497,77847596.5175711,13618413985,11.66940609495
2011,35690.8,184033.5,251097,7688593,599.4401933942,9.6185898012,3050,76612205.5144433,18237897376,10.6071611434
2012,36011.3,211445,252838,7792561,612.62767649,7.7984712634,3220,79054471.7939085,14764185875,10.507332484
2013,36011.3,222864.846113721,255184,7969654,627.3494352486,9.5930045525,3377,81574593.3516492,15898948627,10.0528951408
2014,36014.5,245706.945625616,257071,8073924,676.4882756806,9.7128979318,3429,84175052.0809864,14232496719,9.9680406365
2015,36655.8,270890.201758708,259224,8175113,571.063498758766,9.05624443225207,3661,86858408.9937536,10201505071,10.8575164486895
2016,36668.2,298654.566813447,262216,8272724,575.464314355648,9.33470302071817,4207,89627306.7424726,10393181740,6.81
2017,36673.6,329264.586535237,264649,8366628,579.899044180911,9.34142532187613,4550,92484472.2229142,14330397918,6.39
2018,36673.6,363011.920771814,267393,8513497,584.367949589497,9.3481524640379,4816.5942264699,95432719.2596291,15697777925,6.52
2019,36905.7048116114,400218.122480462,271565,8586781,581.9,11.2,2702,97555118,17282375266,6.23
2020,37044.1252574041,441237.701564269,276757,8690745,883,14.6,2176,101614164.659165,20257679924,6.15
